pair_prefix,wav_original,wav_treinado,wav_referencia,f0_rmse_hz_original_vs_ref,f0_rmse_hz_treinado_vs_ref,f0_rmse_hz_vs_base,failure_reason
sentenca_50,checkpoint-10000/inference_batch_20260428_120204/sentenca_50_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_50_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_50_referencia.wav,161.70263774075826,177.35031991579325,63.39700396002423,
sentenca_51,checkpoint-10000/inference_batch_20260428_120204/sentenca_51_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_51_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_51_referencia.wav,123.36439044039994,130.08819488860283,91.11881369375286,
sentenca_52,checkpoint-10000/inference_batch_20260428_120204/sentenca_52_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_52_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_52_referencia.wav,132.86147436116448,156.97019088040696,63.31530794602996,
sentenca_53,checkpoint-10000/inference_batch_20260428_120204/sentenca_53_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_53_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_53_referencia.wav,144.68917186434624,145.45262758588765,78.85244028094804,
sentenca_54,checkpoint-10000/inference_batch_20260428_120204/sentenca_54_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_54_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_54_referencia.wav,136.59068457379806,150.84906052613673,81.01467803581012,
sentenca_55,checkpoint-10000/inference_batch_20260428_120204/sentenca_55_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_55_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_55_referencia.wav,140.76342194307207,159.27481166177418,92.38183734583983,
sentenca_56,checkpoint-10000/inference_batch_20260428_120204/sentenca_56_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_56_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_56_referencia.wav,77.94971355354525,87.88238247502306,59.12638432369984,
sentenca_57,checkpoint-10000/inference_batch_20260428_120204/sentenca_57_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_57_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_57_referencia.wav,90.29822389245696,93.57269252472138,79.34235817599676,
sentenca_58,checkpoint-10000/inference_batch_20260428_120204/sentenca_58_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_58_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_58_referencia.wav,125.83998582419942,136.76751825903582,80.16735729094572,
sentenca_59,checkpoint-10000/inference_batch_20260428_120204/sentenca_59_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_59_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_59_referencia.wav,110.9569027655141,129.69619100814487,77.73906902326875,
sentenca_5,checkpoint-10000/inference_batch_20260428_120204/sentenca_5_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_5_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_5_referencia.wav,224.05741013534683,205.12327288818565,98.38375830432335,
sentenca_60,checkpoint-10000/inference_batch_20260428_120204/sentenca_60_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_60_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_60_referencia.wav,129.20949836548448,147.409502452848,78.64090757904592,
sentenca_61,checkpoint-10000/inference_batch_20260428_120204/sentenca_61_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_61_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_61_referencia.wav,111.69468403778724,111.5697380859941,26.950429739099196,
sentenca_62,checkpoint-10000/inference_batch_20260428_120204/sentenca_62_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_62_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_62_referencia.wav,86.531104867981,99.04256280028325,62.67463903902861,
sentenca_63,checkpoint-10000/inference_batch_20260428_120204/sentenca_63_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_63_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_63_referencia.wav,153.68243038538444,160.79982400500825,34.73195568667341,
sentenca_64,checkpoint-10000/inference_batch_20260428_120204/sentenca_64_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_64_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_64_referencia.wav,114.07404410898279,127.98687329821138,63.39499126153731,
sentenca_65,checkpoint-10000/inference_batch_20260428_120204/sentenca_65_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_65_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_65_referencia.wav,125.26537708089994,148.26070231432305,47.40102364168662,
sentenca_66,checkpoint-10000/inference_batch_20260428_120204/sentenca_66_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_66_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_66_referencia.wav,105.08921654973756,116.91157268085776,55.39768437725807,
sentenca_67,checkpoint-10000/inference_batch_20260428_120204/sentenca_67_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_67_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_67_referencia.wav,97.98069368495719,112.40772987029425,53.92708080666603,
sentenca_68,checkpoint-10000/inference_batch_20260428_120204/sentenca_68_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_68_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_68_referencia.wav,110.68056778577424,135.7221184217335,67.12839594057567,
sentenca_69,checkpoint-10000/inference_batch_20260428_120204/sentenca_69_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_69_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_69_referencia.wav,100.61160507336936,125.86245036116564,71.94628666021968,
sentenca_6,checkpoint-10000/inference_batch_20260428_120204/sentenca_6_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_6_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_6_referencia.wav,202.9078171830854,190.85800582168338,62.81216978362188,
sentenca_70,checkpoint-10000/inference_batch_20260428_120204/sentenca_70_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_70_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_70_referencia.wav,116.9170302138855,135.11126710549922,78.19442525301528,
sentenca_71,checkpoint-10000/inference_batch_20260428_120204/sentenca_71_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_71_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_71_referencia.wav,105.67075258730351,126.27806101271655,64.86465609620615,
sentenca_72,checkpoint-10000/inference_batch_20260428_120204/sentenca_72_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_72_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_72_referencia.wav,70.23750674721285,67.23723063310432,40.445253390518985,
sentenca_73,checkpoint-10000/inference_batch_20260428_120204/sentenca_73_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_73_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_73_referencia.wav,122.01808743693071,130.7717509787436,47.597762629877636,
sentenca_74,checkpoint-10000/inference_batch_20260428_120204/sentenca_74_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_74_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_74_referencia.wav,137.368352639344,121.69857409253491,84.03712647289643,
sentenca_75,checkpoint-10000/inference_batch_20260428_120204/sentenca_75_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_75_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_75_referencia.wav,144.33921008187298,147.41638658862811,37.752368847447265,
sentenca_76,checkpoint-10000/inference_batch_20260428_120204/sentenca_76_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_76_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_76_referencia.wav,99.78099263945556,114.47438592571491,60.75809390552397,
sentenca_77,checkpoint-10000/inference_batch_20260428_120204/sentenca_77_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_77_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_77_referencia.wav,97.29160755499667,109.57728017623623,51.80126810717394,
sentenca_78,checkpoint-10000/inference_batch_20260428_120204/sentenca_78_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_78_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_78_referencia.wav,107.9284135620326,115.33066383877166,56.1550651177585,
sentenca_79,checkpoint-10000/inference_batch_20260428_120204/sentenca_79_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_79_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_79_referencia.wav,106.696713929233,117.83978895225292,57.1112328511188,
sentenca_7,checkpoint-10000/inference_batch_20260428_120204/sentenca_7_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_7_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_7_referencia.wav,162.1512009349288,168.45164697250848,78.47458833334862,
sentenca_80,checkpoint-10000/inference_batch_20260428_120204/sentenca_80_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_80_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_80_referencia.wav,104.03396903805553,118.53060319763202,68.733939991284,
sentenca_8,checkpoint-10000/inference_batch_20260428_120204/sentenca_8_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_8_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_8_referencia.wav,151.2828638305756,160.4183641189883,52.15006947179718,
sentenca_9,checkpoint-10000/inference_batch_20260428_120204/sentenca_9_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_9_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_9_referencia.wav,196.04047789805696,208.3489642822861,60.38325090056197,
